SENTENCE_ID,iteration,GPT-5,Qwen2.5-32B-Instruct,Mistral-Small-3.2-24B-Instruct,Llama-3.2-3B
K_1237,8,3,3,4,4
K_1237,9,3,3,4,5
K_1267,0,3,3,5,4
K_1267,1,3,3,5,5
K_1267,2,2,3,5,2
K_1267,3,3,3,5,5
K_1267,4,3,3,5,5
K_1267,5,2,3,5,3
K_1267,6,3,3,5,4
K_1267,7,3,3,5,4
K_1267,8,4,3,5,5
K_1267,9,2,3,5,4
K_1290,0,5,5,5,4
K_1290,1,5,5,5,4
K_1290,2,4,5,5,5
K_1290,3,6,5,5,4
K_1290,4,5,5,5,4
K_1290,5,5,5,5,5
K_1290,6,5,5,5,5
K_1290,7,5,5,5,5
K_1290,8,5,5,5,4
K_1290,9,5,5,5,5
K_1310,0,5,4,5,4
K_1310,1,4,4,5,5
K_1310,2,4,4,5,5
K_1310,3,5,4,5,5
K_1310,4,5,4,5,4
K_1310,5,4,4,5,4
K_1310,6,4,4,5,5
K_1310,7,4,4,5,5
K_1310,8,5,4,5,5
K_1310,9,5,4,5,5
K_1314,0,2,2,2,4
K_1314,1,1,2,2,4
K_1314,2,2,2,2,4
K_1314,3,2,2,2,2
K_1314,4,2,2,2,2
K_1314,5,1,2,2,4
K_1314,6,2,2,2,3
K_1314,7,2,2,2,4
K_1314,8,1,2,2,2
K_1314,9,1,2,2,3
K_1434,0,4,3,4,4
K_1434,1,4,3,4,4
K_1434,2,3,3,4,5
K_1434,3,3,3,4,5
K_1434,4,4,3,4,4
K_1434,5,4,3,4,5
K_1434,6,4,3,4,5
K_1434,7,4,3,4,4
K_1434,8,3,3,4,5
K_1434,9,3,3,4,4
K_1477,0,5,5,5,5
K_1477,1,6,5,5,4
K_1477,2,5,5,5,5
K_1477,3,6,5,5,5
K_1477,4,5,5,5,4
K_1477,5,5,5,5,5
K_1477,6,5,5,5,5
K_1477,7,6,5,5,5
K_1477,8,5,5,5,5
K_1477,9,5,5,5,5
K_1567,0,2,2,2,3
K_1567,1,2,2,2,4
K_1567,2,2,2,2,2
K_1567,3,2,2,2,3
K_1567,4,2,2,2,2
K_1567,5,2,2,2,4
K_1567,6,2,2,2,3
K_1567,7,2,2,2,2
K_1567,8,2,2,2,4
K_1567,9,1,2,2,3
K_1598,0,2,2,3,3
K_1598,1,2,2,3,3
K_1598,2,2,2,3,4
K_1598,3,2,2,3,3
K_1598,4,2,2,3,2
K_1598,5,2,2,3,2
K_1598,6,2,2,3,4
K_1598,7,2,2,3,3
K_1598,8,2,2,3,4
K_1598,9,2,2,3,2
K_1647,0,4,4,4,4
K_1647,1,4,5,4,4
K_1647,2,5,4,4,3
K_1647,3,4,4,4,3
K_1647,4,4,5,4,4
K_1647,5,4,4,4,4
K_1647,6,4,4,4,4
K_1647,7,4,4,4,4
K_1647,8,4,4,4,2
K_1647,9,4,4,4,3
K_1658,0,4,4,5,5
K_1658,1,5,4,5,4
K_1658,2,5,4,5,2
K_1658,3,5,4,5,4
K_1658,4,5,4,5,3
K_1658,5,5,5,5,3
K_1658,6,5,4,5,4
K_1658,7,4,4,5,3
K_1658,8,4,4,5,5
K_1658,9,4,4,5,4
K_1719,0,5,4,5,5
K_1719,1,3,4,5,5
K_1719,2,5,4,5,5
K_1719,3,3,4,5,5
K_1719,4,3,4,5,4
K_1719,5,4,4,5,5
K_1719,6,4,4,5,5
K_1719,7,5,4,5,4
K_1719,8,4,4,5,4
K_1719,9,4,4,5,5
K_1733,0,4,4,5,5
K_1733,1,5,4,5,5
K_1733,2,4,4,5,5
K_1733,3,4,4,5,5
K_1733,4,4,5,5,5
K_1733,5,5,5,5,4
K_1733,6,5,4,5,4
K_1733,7,4,4,5,4
K_1733,8,4,4,5,5
K_1733,9,4,5,5,5
K_1744,0,5,5,5,4
K_1744,1,5,5,5,5
K_1744,2,5,5,5,5
K_1744,3,5,5,5,4
K_1744,4,5,5,5,4
K_1744,5,5,5,5,4
K_1744,6,5,5,5,4
K_1744,7,5,5,5,3
K_1744,8,5,5,5,4
K_1744,9,5,5,5,4
K_1757,0,5,4,5,4
K_1757,1,5,4,5,4
K_1757,2,5,4,5,5
K_1757,3,5,4,5,5
K_1757,4,5,4,5,4
K_1757,5,5,4,5,5
K_1757,6,5,4,5,4
K_1757,7,5,4,5,5
K_1757,8,5,4,5,4
K_1757,9,5,4,5,4
K_1815,0,4,4,4,3
K_1815,1,4,4,4,4
K_1815,2,4,4,4,4
K_1815,3,4,4,4,4
K_1815,4,4,4,4,4
K_1815,5,4,4,4,4
K_1815,6,5,4,4,4
K_1815,7,4,4,4,3
K_1815,8,4,4,4,3
K_1815,9,4,4,4,4
K_1865,0,2,2,3,3
K_1865,1,3,2,3,4
K_1865,2,2,2,3,4
K_1865,3,2,2,3,3
K_1865,4,2,2,3,2
K_1865,5,2,2,3,2
K_1865,6,3,2,3,4
K_1865,7,2,2,3,2
K_1865,8,2,2,3,4
K_1865,9,2,2,3,4
K_1902,0,6,5,5,4
K_1902,1,6,5,5,5
K_1902,2,5,5,5,5
K_1902,3,5,5,5,4
K_1902,4,6,5,5,5
K_1902,5,6,5,5,5
K_1902,6,5,5,5,5
K_1902,7,6,5,5,4
K_1902,8,5,5,5,4
K_1902,9,6,5,5,5
K_1951,0,2,2,2,3
K_1951,1,1,2,2,2
K_1951,2,1,2,2,3
K_1951,3,1,2,2,2
K_1951,4,2,2,2,4
K_1951,5,1,2,2,4
K_1951,6,1,2,2,4
K_1951,7,1,2,2,3
K_1951,8,1,2,2,3
K_1951,9,1,2,2,2
K_1973,0,2,2,3,4
K_1973,1,2,2,3,4
K_1973,2,2,2,3,4
K_1973,3,2,3,3,4
K_1973,4,1,3,3,5
K_1973,5,2,2,3,2
K_1973,6,2,2,3,4
K_1973,7,1,2,3,3
K_1973,8,2,2,3,4
K_1973,9,2,3,3,3
K_1992,0,5,5,4,5
K_1992,1,5,5,4,4
K_1992,2,5,5,4,3
K_1992,3,5,5,4,4
K_1992,4,5,5,4,5
K_1992,5,5,5,4,3
K_1992,6,4,5,4,5
K_1992,7,5,5,4,4
K_1992,8,5,5,4,5
K_1992,9,5,5,4,4
K_2003,0,5,5,5,4
K_2003,1,4,5,5,4
K_2003,2,5,5,5,5
K_2003,3,4,5,5,5
K_2003,4,5,5,5,4
K_2003,5,5,5,5,4
K_2003,6,5,5,5,4
K_2003,7,5,5,5,5
K_2003,8,5,5,5,2
K_2003,9,5,5,5,4
K_2025,0,5,5,5,5
K_2025,1,5,5,5,4
K_2025,2,5,5,5,4
K_2025,3,5,5,5,4
K_2025,4,5,5,5,5
K_2025,5,5,5,5,4
K_2025,6,5,5,5,5
K_2025,7,5,5,5,5
K_2025,8,5,5,5,5
K_2025,9,5,5,5,4
K_2038,0,1,2,2,3
K_2038,1,1,2,2,4
K_2038,2,1,2,2,4
K_2038,3,1,2,2,3
K_2038,4,1,2,2,3
K_2038,5,1,2,2,4
K_2038,6,1,2,2,4
K_2038,7,1,2,2,3
K_2038,8,1,2,2,4
K_2038,9,1,2,2,5
K_2051,0,3,2,3,2
K_2051,1,2,2,3,3
K_2051,2,2,2,3,4
K_2051,3,2,2,3,4
K_2051,4,2,2,3,4
K_2051,5,3,2,3,4
K_2051,6,2,2,3,3
K_2051,7,2,2,3,2
K_2051,8,3,2,3,2
K_2051,9,2,2,3,2
K_2052,0,2,2,3,3
K_2052,1,2,2,3,4
K_2052,2,2,2,3,5
K_2052,3,2,2,3,3
K_2052,4,2,3,3,4
K_2052,5,2,2,3,3
K_2052,6,2,2,3,3
K_2052,7,2,2,3,4
K_2052,8,2,2,3,2
K_2052,9,2,2,3,4
K_2074,0,1,2,2,4
K_2074,1,1,2,2,3
K_2074,2,1,2,2,2
K_2074,3,1,2,2,3
K_2074,4,1,2,2,3
K_2074,5,1,2,2,2
K_2074,6,1,2,2,2
K_2074,7,1,2,2,3
K_2074,8,1,2,2,2
K_2074,9,1,2,2,2
K_2088,0,6,5,6,5
K_2088,1,6,5,5,5
K_2088,2,6,5,5,5
K_2088,3,5,5,5,4
K_2088,4,6,5,5,4
K_2088,5,6,5,5,5
K_2088,6,6,5,6,5
K_2088,7,5,5,5,5
K_2088,8,6,5,5,4
K_2088,9,6,5,5,5
K_2090,0,1,2,2,2
K_2090,1,1,2,2,2
K_2090,2,1,2,2,2
K_2090,3,1,2,2,2
K_2090,4,1,2,2,3
K_2090,5,1,2,2,4
K_2090,6,1,2,2,4
K_2090,7,1,2,2,3
K_2090,8,1,2,2,3
K_2090,9,1,2,2,4
K_2131,0,2,2,3,3
K_2131,1,2,2,3,4
K_2131,2,2,2,3,2
K_2131,3,2,2,3,4
K_2131,4,2,2,3,3
K_2131,5,2,2,3,4
K_2131,6,2,2,3,5
K_2131,7,2,2,3,4
K_2131,8,2,2,3,3
K_2131,9,2,2,3,4
K_216,0,4,3,4,2
K_216,1,4,3,4,5
K_216,2,4,3,4,3
K_216,3,5,3,4,2
K_216,4,4,2,4,3
K_216,5,5,3,4,5
K_216,6,4,3,5,2
K_216,7,5,3,5,3
K_216,8,5,3,4,2
K_216,9,4,3,4,5
K_2167,0,1,2,2,4
K_2167,1,1,2,2,3
K_2167,2,1,2,2,3
K_2167,3,1,2,2,3
K_2167,4,1,2,2,2
K_2167,5,1,2,2,4
K_2167,6,1,2,2,2
K_2167,7,1,2,2,2
K_2167,8,1,2,2,4
K_2167,9,1,2,2,2
K_2169,0,4,4,5,4
K_2169,1,4,4,5,5
K_2169,2,5,4,5,4
K_2169,3,5,4,5,3
K_2169,4,5,4,5,2
K_2169,5,4,4,5,4
K_2169,6,4,4,5,4
K_2169,7,5,4,5,4
K_2169,8,5,4,5,3
K_2169,9,4,4,5,4
K_223,0,2,3,5,5
K_223,1,2,3,5,4
K_223,2,3,3,5,5
K_223,3,2,3,5,4
K_223,4,3,3,5,5
K_223,5,2,3,5,5
K_223,6,3,3,5,4
K_223,7,2,3,5,5
K_223,8,3,3,5,5
K_223,9,2,3,5,5
K_2240,0,4,2,5,4
K_2240,1,4,2,5,4
K_2240,2,5,3,5,4
K_2240,3,5,3,5,5
K_2240,4,4,2,5,5
K_2240,5,5,3,5,5
K_2240,6,3,3,5,4
K_2240,7,5,3,5,5
K_2240,8,5,2,5,4
K_2240,9,3,2,5,4
K_2251,0,5,3,4,4
K_2251,1,5,3,4,4
K_2251,2,5,3,4,4
K_2251,3,5,3,4,3
K_2251,4,5,3,4,4
K_2251,5,5,3,4,4
K_2251,6,5,2,4,2
K_2251,7,5,3,4,4
K_2251,8,5,3,4,4
K_2251,9,5,2,4,5
K_2307,0,3,3,4,3
K_2307,1,3,3,5,4
K_2307,2,4,4,4,5
K_2307,3,3,3,5,5
K_2307,4,3,3,5,3
K_2307,5,3,3,5,4
K_2307,6,3,3,5,5
K_2307,7,3,4,5,4
K_2307,8,3,3,5,3
K_2307,9,3,4,5,5
K_247,0,5,5,5,5
K_247,1,5,4,5,4
K_247,2,5,5,5,5
K_247,3,5,4,5,4
K_247,4,5,4,5,5
K_247,5,5,5,5,4
K_247,6,5,4,5,5
K_247,7,5,5,5,5
K_247,8,5,5,5,5
K_247,9,5,5,5,4
K_2552,0,6,5,5,5
K_2552,1,6,5,5,5
K_2552,2,5,5,5,5
K_2552,3,6,5,6,5
K_2552,4,6,5,6,5
K_2552,5,6,5,5,5
K_2552,6,6,5,5,5
K_2552,7,6,5,5,4
K_2552,8,6,5,5,5
K_2552,9,6,5,5,5
K_2570,0,5,5,5,4
K_2570,1,6,5,5,5
K_2570,2,5,5,5,4
K_2570,3,5,5,5,4
K_2570,4,6,5,5,5
K_2570,5,6,5,5,4
K_2570,6,5,5,5,4
K_2570,7,6,5,5,4
K_2570,8,6,5,5,4
K_2570,9,6,5,5,4
K_2586,0,4,5,5,4
K_2586,1,4,5,5,5
K_2586,2,4,5,5,5
K_2586,3,4,5,5,4
K_2586,4,4,5,5,3
K_2586,5,4,5,5,5
K_2586,6,4,5,5,4
K_2586,7,3,5,5,5
K_2586,8,3,5,5,2
K_2586,9,4,5,5,5
K_259,0,2,2,3,3
K_259,1,2,2,3,3
K_259,2,2,2,3,3
K_259,3,2,2,3,2
K_259,4,2,2,3,2
K_259,5,2,2,3,2
K_259,6,2,2,3,4
K_259,7,2,2,3,4
K_259,8,2,2,3,2
K_259,9,2,2,3,2
K_2658,0,6,5,5,5
K_2658,1,6,5,5,5
K_2658,2,6,5,5,4
K_2658,3,6,5,5,5
K_2658,4,5,5,5,5
K_2658,5,6,5,5,5
K_2658,6,5,5,5,4
K_2658,7,5,5,5,4
K_2658,8,6,5,5,5
K_2658,9,6,5,5,4
K_2685,0,6,5,5,5
K_2685,1,6,5,5,4
K_2685,2,6,5,5,5
K_2685,3,6,5,5,5
K_2685,4,6,5,5,5
K_2685,5,6,5,5,5
K_2685,6,6,5,5,5
K_2685,7,6,5,5,5
K_2685,8,6,5,5,5
K_2685,9,6,5,5,5
K_269,0,5,4,5,4
K_269,1,5,5,5,5
K_269,2,5,5,5,5
K_269,3,5,5,5,4
K_269,4,5,5,5,5
K_269,5,5,4,5,5
K_269,6,5,5,5,5
K_269,7,5,4,5,5
K_269,8,5,5,5,4
K_269,9,5,4,5,4
K_270,0,2,2,4,3
K_270,1,2,2,4,2
K_270,2,2,2,4,4
K_270,3,2,2,4,2
K_270,4,2,2,4,4
K_270,5,2,2,4,3
K_270,6,2,2,4,2
K_270,7,2,2,4,2
K_270,8,2,2,4,5
K_270,9,2,2,4,3
K_2776,0,5,5,5,4
K_2776,1,5,5,5,4
K_2776,2,5,5,5,5
K_2776,3,6,5,5,5
K_2776,4,5,5,5,4
K_2776,5,6,5,6,5
K_2776,6,6,5,5,5
K_2776,7,5,5,5,4
K_2776,8,5,5,5,5
K_2776,9,5,5,6,5
K_2846,0,5,5,5,5
K_2846,1,5,4,5,3
K_2846,2,6,4,5,3
K_2846,3,5,5,5,5
K_2846,4,6,4,5,5
K_2846,5,6,4,5,4
K_2846,6,6,4,5,4
K_2846,7,5,4,5,4
K_2846,8,6,4,5,4
K_2846,9,5,5,5,5
K_2949,0,2,3,4,4
K_2949,1,2,3,4,4
K_2949,2,2,3,4,4
K_2949,3,2,3,4,4
K_2949,4,2,3,4,5
K_2949,5,2,3,4,3
K_2949,6,2,3,4,5
K_2949,7,2,3,4,5
K_2949,8,2,3,4,4
K_2949,9,2,3,4,5
K_2989,0,2,2,3,5
K_2989,1,2,2,3,3
K_2989,2,2,3,3,4
K_2989,3,2,2,3,4
K_2989,4,2,3,3,5
K_2989,5,3,2,3,5
K_2989,6,2,2,3,5
K_2989,7,2,2,3,4
K_2989,8,2,3,3,4
K_2989,9,2,3,3,4
K_3015,0,5,4,5,5
K_3015,1,5,4,5,4
K_3015,2,5,4,5,5
K_3015,3,5,5,5,4
K_3015,4,5,4,5,5
K_3015,5,5,4,5,5
K_3015,6,5,4,5,5
K_3015,7,4,5,5,5
K_3015,8,4,5,5,5
K_3015,9,5,5,5,5
K_3076,0,6,5,5,6
K_3076,1,6,5,5,5
K_3076,2,6,5,5,5
K_3076,3,6,5,6,5
K_3076,4,6,5,5,5
K_3076,5,6,5,5,5
K_3076,6,6,5,5,5
K_3076,7,6,5,5,5
K_3076,8,5,5,6,5
K_3076,9,6,5,5,5
K_3158,0,3,4,4,5
K_3158,1,3,4,4,5
K_3158,2,3,4,4,4
K_3158,3,3,4,4,4
K_3158,4,3,4,4,4
K_3158,5,2,4,4,4
K_3158,6,3,4,4,3
K_3158,7,3,4,4,3
K_3158,8,2,4,4,4
K_3158,9,3,4,4,4
K_3264,0,5,4,4,2
K_3264,1,5,5,4,4
K_3264,2,5,4,4,5
K_3264,3,4,5,4,4
K_3264,4,5,4,4,4
K_3264,5,5,5,4,3
K_3264,6,4,4,4,5
K_3264,7,4,5,4,3
K_3264,8,4,4,4,4
K_3264,9,4,4,4,4
K_3295,0,1,2,2,5
K_3295,1,1,2,2,4
K_3295,2,1,2,2,3
K_3295,3,1,2,2,4
K_3295,4,1,2,2,3
K_3295,5,1,2,2,3
K_3295,6,1,2,2,3
K_3295,7,1,2,2,2
K_3295,8,1,2,2,2
K_3295,9,1,2,2,3
K_3318,0,6,5,6,4
K_3318,1,6,5,6,5
K_3318,2,6,5,6,5
K_3318,3,6,5,6,5
K_3318,4,6,5,6,4
K_3318,5,6,5,6,5
K_3318,6,6,5,6,5
K_3318,7,6,5,6,4
K_3318,8,6,5,6,4
K_3318,9,6,5,6,5
K_3343,0,2,4,5,5
K_3343,1,3,4,5,5
K_3343,2,3,4,5,4
K_3343,3,3,4,5,5
K_3343,4,2,4,5,4
K_3343,5,3,4,5,5
K_3343,6,3,4,5,5
K_3343,7,3,4,5,5
K_3343,8,3,4,5,4
K_3343,9,3,4,5,4
K_3350,0,3,2,3,5
K_3350,1,2,2,3,5
K_3350,2,2,2,3,4
K_3350,3,2,2,3,4
K_3350,4,2,2,3,4
K_3350,5,3,2,3,4
K_3350,6,3,2,3,4
K_3350,7,2,2,3,4
K_3350,8,2,2,3,3
K_3350,9,3,2,3,5
K_3355,0,6,5,5,4
K_3355,1,5,5,5,4
K_3355,2,6,5,5,5
K_3355,3,5,5,5,5
K_3355,4,6,5,5,4
K_3355,5,6,5,5,4
K_3355,6,5,5,5,5
K_3355,7,6,5,5,5
K_3355,8,5,5,5,4
K_3355,9,6,5,5,5
K_34,0,6,5,5,5
K_34,1,6,5,5,4
K_34,2,6,5,5,5
K_34,3,6,5,5,5
K_34,4,6,5,5,5
K_34,5,6,5,5,5
K_34,6,6,5,5,4
K_34,7,6,5,5,4
K_34,8,6,5,5,5
K_34,9,6,5,5,4
K_3402,0,2,2,3,4
K_3402,1,2,3,3,4
K_3402,2,2,2,3,5
K_3402,3,2,3,3,4
K_3402,4,2,3,3,5
K_3402,5,2,3,3,5
K_3402,6,2,3,3,4
K_3402,7,2,3,3,4
K_3402,8,2,3,3,4
K_3402,9,3,3,3,4
K_3436,0,5,5,5,5
K_3436,1,5,5,5,5
K_3436,2,5,4,5,4
K_3436,3,5,4,5,5
K_3436,4,5,4,5,5
K_3436,5,5,5,5,5
K_3436,6,5,4,5,5
K_3436,7,4,4,5,5
K_3436,8,5,5,5,5
K_3436,9,5,5,5,5
K_3440,0,2,3,3,4
K_3440,1,2,3,3,4
K_3440,2,2,2,3,4
K_3440,3,2,2,3,4
K_3440,4,2,3,3,3
K_3440,5,2,3,3,4
K_3440,6,2,3,3,2
K_3440,7,3,2,3,3
K_3440,8,2,3,3,3
K_3440,9,2,3,3,2
K_3528,0,3,2,3,4
K_3528,1,2,2,3,3
K_3528,2,3,2,3,4
K_3528,3,2,2,3,2
K_3528,4,2,2,3,4
K_3528,5,2,2,3,4
K_3528,6,2,2,3,4
K_3528,7,3,2,3,4
K_3528,8,2,2,3,3
K_3528,9,2,2,3,3
K_3546,0,5,3,4,5
K_3546,1,4,3,4,4
K_3546,2,4,3,4,5
K_3546,3,5,3,4,5
K_3546,4,4,3,4,4
K_3546,5,4,3,4,4
K_3546,6,4,3,4,4
K_3546,7,4,3,4,5
K_3546,8,4,3,4,3
K_3546,9,5,3,4,5
K_357,0,4,4,4,4
K_357,1,4,4,4,3
K_357,2,4,4,4,4
K_357,3,5,4,4,4
K_357,4,5,4,4,4
K_357,5,4,4,4,4
K_357,6,4,4,4,4
K_357,7,5,4,4,3
K_357,8,4,4,4,2
K_357,9,4,4,4,4
K_3734,0,4,5,5,5
K_3734,1,5,4,5,5
K_3734,2,5,5,5,5
K_3734,3,5,4,5,5
K_3734,4,5,4,5,5
K_3734,5,5,4,5,4
K_3734,6,5,4,5,4
K_3734,7,4,5,5,5
K_3734,8,5,4,5,4
K_3734,9,4,5,5,4
K_378,0,5,5,5,4
K_378,1,5,5,5,5
K_378,2,5,5,5,5
K_378,3,5,5,5,4
K_378,4,5,5,5,4
K_378,5,5,5,5,5
K_378,6,5,5,5,4
K_378,7,5,5,5,3
K_378,8,5,5,5,5
K_378,9,5,5,5,4
K_3850,0,2,2,4,2
K_3850,1,2,2,4,4
K_3850,2,2,2,4,3
K_3850,3,2,2,4,3
K_3850,4,2,2,3,2
K_3850,5,2,2,4,2
K_3850,6,2,2,4,2
K_3850,7,2,2,3,4
K_3850,8,2,2,4,3
K_3850,9,2,2,4,4
K_3853,0,1,2,3,2
K_3853,1,1,2,3,2
K_3853,2,1,2,3,2
K_3853,3,1,2,3,3
K_3853,4,1,2,3,2
K_3853,5,1,2,3,2
K_3853,6,1,2,3,2
K_3853,7,1,2,3,2
K_3853,8,1,2,3,4
K_3853,9,2,2,3,2
K_3949,0,1,2,2,2
K_3949,1,2,2,2,3
K_3949,2,2,2,2,2
K_3949,3,2,2,2,2
K_3949,4,1,2,2,4
K_3949,5,1,2,2,4
K_3949,6,1,2,2,3
K_3949,7,1,2,2,2
K_3949,8,1,2,2,2
K_3949,9,2,2,2,3
K_4011,0,5,3,3,2
K_4011,1,5,3,3,2
K_4011,2,5,3,3,2
K_4011,3,5,3,3,2
K_4011,4,5,3,3,4
K_4011,5,5,3,3,4
K_4011,6,5,3,3,4
K_4011,7,5,3,3,3
K_4011,8,4,3,3,4
K_4011,9,5,3,3,2
K_4121,0,2,2,4,5
K_4121,1,2,2,4,5
K_4121,2,2,2,4,4
K_4121,3,2,2,4,4
K_4121,4,2,2,4,3
K_4121,5,2,2,4,5
K_4121,6,2,2,4,4
K_4121,7,2,2,4,2
K_4121,8,2,2,4,5
K_4121,9,2,2,4,4
K_421,0,2,4,4,5
K_421,1,2,4,4,4
K_421,2,2,4,4,4
K_421,3,2,4,4,5
K_421,4,3,4,4,4
K_421,5,2,4,4,5
K_421,6,2,4,4,5
K_421,7,2,4,4,4
K_421,8,2,5,4,4
K_421,9,2,4,4,5
K_422,0,6,5,5,5
K_422,1,6,5,5,5
K_422,2,6,5,5,5
K_422,3,6,5,5,5
K_422,4,5,5,5,5
K_422,5,5,5,5,5
K_422,6,5,5,5,5
K_422,7,5,5,5,5
K_422,8,6,5,5,4
K_422,9,5,5,5,5
K_428,0,2,2,3,2
K_428,1,2,2,3,3
K_428,2,2,2,3,2
K_428,3,2,2,3,4
K_428,4,2,2,3,2
K_428,5,2,2,3,2
K_428,6,2,3,3,2
K_428,7,2,2,3,3
K_428,8,2,2,3,3
K_428,9,2,2,3,4
K_492,0,2,3,3,3
K_492,1,1,2,3,4
K_492,2,1,2,3,3
K_492,3,1,2,3,4
K_492,4,1,2,3,2
K_492,5,1,2,3,4
K_492,6,1,2,3,4
K_492,7,1,2,3,2
K_492,8,1,2,3,2
K_492,9,2,2,3,4
K_495,0,4,4,4,2
K_495,1,5,4,4,4
K_495,2,3,4,4,2
K_495,3,3,4,4,4
K_495,4,3,4,4,4
K_495,5,4,4,4,2
K_495,6,4,4,4,5
K_495,7,4,4,4,4
K_495,8,3,4,4,4
K_495,9,3,4,4,2
K_56,0,4,4,4,5
K_56,1,5,4,4,5
K_56,2,3,4,4,5
K_56,3,5,4,4,4
K_56,4,4,4,4,4
K_56,5,4,4,4,5
K_56,6,5,4,4,4
K_56,7,4,4,4,4
K_56,8,5,4,4,4
K_56,9,4,4,4,4
K_560,0,5,4,5,5
K_560,1,5,4,5,5
K_560,2,5,4,5,5
K_560,3,5,3,5,4
K_560,4,4,4,5,5
K_560,5,5,4,5,5
K_560,6,4,4,5,4
K_560,7,4,4,5,5
K_560,8,4,4,5,5
K_560,9,4,4,5,4
K_58,0,4,4,4,4
K_58,1,4,4,4,5
K_58,2,4,4,4,4
K_58,3,4,4,4,5
K_58,4,4,4,4,4
K_58,5,4,4,4,5
K_58,6,3,4,4,4
K_58,7,3,4,4,3
K_58,8,3,4,4,5
K_58,9,3,4,4,5
K_589,0,6,5,5,5
K_589,1,6,5,5,5
K_589,2,5,5,5,4
K_589,3,5,5,5,5
K_589,4,6,5,5,4
K_589,5,6,5,5,4
K_589,6,6,5,5,5
K_589,7,6,5,5,4
K_589,8,6,5,5,5
K_589,9,6,5,5,5
K_619,0,5,5,5,5
K_619,1,5,4,5,4
K_619,2,5,5,5,5
K_619,3,5,4,5,4
K_619,4,5,5,5,5
K_619,5,5,5,5,4
