ID,TOKEN_ID,SENTENCE_CLEAN,TOKEN,ANNOTATION_FINAL,MET_TYPE
34,12,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",Nacht,Non-MRW,Non-MRW
34,14,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",aus,MRW,indirect
34,15,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",der,Non-MRW,Non-MRW
34,16,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",schon,Non-MRW,Non-MRW
34,17,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",fern,Non-MRW,Non-MRW
34,18,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",die,Non-MRW,Non-MRW
34,19,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",hellen,Non-MRW,Non-MRW
34,20,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",Stein,Non-MRW,Non-MRW
34,20,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",rosen,MRW,indirect
34,21,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",der,Non-MRW,Non-MRW
34,22,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",Kirchenfenster,Non-MRW,Non-MRW
34,23,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",wundersam,Non-MRW,Non-MRW
34,24,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",hervor,MWE,MWE
34,24,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",glommen,WIDLII,WIDLII
34,26,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",das,Non-MRW,Non-MRW
34,27,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",verstohlene,WIDLII,WIDLII
34,28,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",Schwirren,WIDLII,WIDLII
34,29,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",und,Non-MRW,Non-MRW
34,30,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",Summen,WIDLII,WIDLII
34,31,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",der,Non-MRW,Non-MRW
34,32,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",Tausende,WIDLII,WIDLII
34,33,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",verbreitete,WIDLII,WIDLII
34,34,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",ein,Non-MRW,Non-MRW
34,35,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",banges,WIDLII,WIDLII
34,36,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",Grausen,WIDLII,WIDLII
34,37,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",rings,Non-MRW,Non-MRW
34,38,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",um,Non-MRW,Non-MRW
34,39,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",die,Non-MRW,Non-MRW
34,40,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",Kirche,Non-MRW,Non-MRW
34,42,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",dessen,Non-MRW,Non-MRW
34,43,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",nur,Non-MRW,Non-MRW
34,44,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",wenige,Non-MRW,Non-MRW
34,45,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",sich,MWE,MWE
34,46,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",erwehren,MRW,indirect
34,47,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",mochten,Non-MRW,Non-MRW
56,0,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",Auf,Non-MRW,Non-MRW
56,1,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",der,Non-MRW,Non-MRW
56,2,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",äußersten,Non-MRW,Non-MRW
56,3,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",Bergspitze,Non-MRW,Non-MRW
56,4,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",zur,WIDLII,WIDLII
56,5,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",Linken,Non-MRW,Non-MRW
56,6,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",auf,Non-MRW,Non-MRW
56,7,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",der,Non-MRW,Non-MRW
56,8,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",Römerschanze,Non-MRW,Non-MRW
56,9,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",stand,MRW,indirect
56,10,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",ein,Non-MRW,Non-MRW
56,11,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",alter,WIDLII,WIDLII
56,12,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",Wartturm,Non-MRW,Non-MRW
56,13,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",der,Non-MRW,Non-MRW
56,14,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",Lug,Non-MRW,Non-MRW
56,15,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",ins,MWE,MWE
56,16,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",Land,MWE,MWE
56,17,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",höchst,Non-MRW,Non-MRW
56,18,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",wahrscheinlich,Non-MRW,Non-MRW
56,19,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",auf,Non-MRW,Non-MRW
56,20,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",römischem,Non-MRW,Non-MRW
56,21,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",Fundament,Non-MRW,Non-MRW
56,22,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",gegenüber,Non-MRW,Non-MRW
56,23,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",auf,Non-MRW,Non-MRW
56,24,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",dem,Non-MRW,Non-MRW
56,25,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",Vorsprung,Non-MRW,Non-MRW
56,26,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",des,Non-MRW,Non-MRW
56,27,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",Herrenberges,Non-MRW,Non-MRW
56,28,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",lag,MRW,indirect
56,29,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",die,Non-MRW,Non-MRW
56,30,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",Scharfrichterei,Non-MRW,Non-MRW
56,31,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",und,Non-MRW,Non-MRW
56,32,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",zwischen,Non-MRW,Non-MRW
56,33,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",dieser,Non-MRW,Non-MRW
56,34,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",und,Non-MRW,Non-MRW
56,35,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",dem,Non-MRW,Non-MRW
56,36,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",Wartturm,Non-MRW,Non-MRW
56,37,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",lief,MRW,indirect
56,38,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",im,Non-MRW,Non-MRW
56,39,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartturm, der ""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartturm lief im Tal unten die Stadt gegen das Römertor zu aus.",Tal,Non-MRW,Non-MRW
