SENTENCE_ID,TOKEN_ID,SENTENCE_CLEAN,TOKEN,ANNOTATION_FINAL,MET_TYPE
W_530,23,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",und,Non-MRW,Non-MRW
W_530,24,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",Überschwemmungen,Non-MRW,Non-MRW
W_209,1,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",Teile,Non-MRW,Non-MRW
W_209,2,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",des,Non-MRW,Non-MRW
W_209,3,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",Gebietes,Non-MRW,Non-MRW
W_209,4,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",werden,Non-MRW,Non-MRW
W_209,5,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",aber,Non-MRW,Non-MRW
W_209,6,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",seit,Non-MRW,Non-MRW
W_209,7,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",den,Non-MRW,Non-MRW
W_209,8,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",er,Non-MRW,Non-MRW
W_209,9,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",Jahren,Non-MRW,Non-MRW
W_209,10,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",als,Non-MRW,Non-MRW
W_209,11,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",Erholungsgebiet,Non-MRW,Non-MRW
W_209,12,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",genutzt,Non-MRW,Non-MRW
W_209,13,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",und,Non-MRW,Non-MRW
W_209,14,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",es,Non-MRW,Non-MRW
W_209,15,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",finden,MRW,indirect
W_209,16,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",sich,MWE,MWE
W_209,17,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",im,MRW,indirect
W_209,18,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",unmittelbaren,Non-MRW,Non-MRW
W_209,19,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",Umfeld,Non-MRW,Non-MRW
W_209,20,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",der,Non-MRW,Non-MRW
W_209,21,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",Bergbauflächen,Non-MRW,Non-MRW
W_209,22,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",neben,MRW,indirect
W_209,23,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",einem,Non-MRW,Non-MRW
W_209,24,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",Waldbad,Non-MRW,Non-MRW
W_209,25,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",ein,Non-MRW,Non-MRW
W_209,26,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",Campingplatz,Non-MRW,Non-MRW
W_209,27,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",und,Non-MRW,Non-MRW
W_209,28,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",mehrere,Non-MRW,Non-MRW
W_209,29,"Teile des Gebietes werden aber seit den 1960er Jahren als Erholungsgebiet genutzt und es finden sich im unmittelbaren Umfeld der Bergbauflächen neben einem Waldbad, ein Campingplatz und mehrere Bungalowsiedlungen.",Bungalowsiedlungen,Non-MRW,Non-MRW
W_761,1,Es herrscht ein quirliges Leben in der knapp 20 000 Einwohner großen Stadt.,Es,Non-MRW,Non-MRW
W_761,2,Es herrscht ein quirliges Leben in der knapp 20 000 Einwohner großen Stadt.,herrscht,MRW,indirect
W_761,3,Es herrscht ein quirliges Leben in der knapp 20 000 Einwohner großen Stadt.,ein,Non-MRW,Non-MRW
W_761,4,Es herrscht ein quirliges Leben in der knapp 20 000 Einwohner großen Stadt.,quirliges,MRW,indirect
W_761,5,Es herrscht ein quirliges Leben in der knapp 20 000 Einwohner großen Stadt.,Leben,MRW,indirect
W_761,6,Es herrscht ein quirliges Leben in der knapp 20 000 Einwohner großen Stadt.,in,MRW,indirect
W_761,7,Es herrscht ein quirliges Leben in der knapp 20 000 Einwohner großen Stadt.,der,Non-MRW,Non-MRW
W_761,8,Es herrscht ein quirliges Leben in der knapp 20 000 Einwohner großen Stadt.,knapp,Non-MRW,Non-MRW
W_761,9,Es herrscht ein quirliges Leben in der knapp 20 000 Einwohner großen Stadt.,Einwohner,Non-MRW,Non-MRW
W_761,10,Es herrscht ein quirliges Leben in der knapp 20 000 Einwohner großen Stadt.,großen,WIDLII,WIDLII
W_761,11,Es herrscht ein quirliges Leben in der knapp 20 000 Einwohner großen Stadt.,Stadt,Non-MRW,Non-MRW
W_344,1,"Nur 2 Kilometer vom Stadtzentrum entfernt, direkt unter der Festing Ruzafa, liegt auf einer ruhigen Halbinsel der Campingplatz Legjenda mit angeschlossenem tollen Restaurant.",Nur,Non-MRW,Non-MRW
W_344,2,"Nur 2 Kilometer vom Stadtzentrum entfernt, direkt unter der Festing Ruzafa, liegt auf einer ruhigen Halbinsel der Campingplatz Legjenda mit angeschlossenem tollen Restaurant.",Kilometer,Non-MRW,Non-MRW
W_344,3,"Nur 2 Kilometer vom Stadtzentrum entfernt, direkt unter der Festing Ruzafa, liegt auf einer ruhigen Halbinsel der Campingplatz Legjenda mit angeschlossenem tollen Restaurant.",vom,Non-MRW,Non-MRW
W_344,4,"Nur 2 Kilometer vom Stadtzentrum entfernt, direkt unter der Festing Ruzafa, liegt auf einer ruhigen Halbinsel der Campingplatz Legjenda mit angeschlossenem tollen Restaurant.",Stadtzentrum,Non-MRW,Non-MRW
W_344,5,"Nur 2 Kilometer vom Stadtzentrum entfernt, direkt unter der Festing Ruzafa, liegt auf einer ruhigen Halbinsel der Campingplatz Legjenda mit angeschlossenem tollen Restaurant.",entfernt,Non-MRW,Non-MRW
W_344,6,"Nur 2 Kilometer vom Stadtzentrum entfernt, direkt unter der Festing Ruzafa, liegt auf einer ruhigen Halbinsel der Campingplatz Legjenda mit angeschlossenem tollen Restaurant.",direkt,Non-MRW,Non-MRW
W_344,7,"Nur 2 Kilometer vom Stadtzentrum entfernt, direkt unter der Festing Ruzafa, liegt auf einer ruhigen Halbinsel der Campingplatz Legjenda mit angeschlossenem tollen Restaurant.",unter,Non-MRW,Non-MRW
W_344,8,"Nur 2 Kilometer vom Stadtzentrum entfernt, direkt unter der Festing Ruzafa, liegt auf einer ruhigen Halbinsel der Campingplatz Legjenda mit angeschlossenem tollen Restaurant.",der,Non-MRW,Non-MRW
W_344,9,"Nur 2 Kilometer vom Stadtzentrum entfernt, direkt unter der Festing Ruzafa, liegt auf einer ruhigen Halbinsel der Campingplatz Legjenda mit angeschlossenem tollen Restaurant.",Festing,Non-MRW,Non-MRW
W_344,10,"Nur 2 Kilometer vom Stadtzentrum entfernt, direkt unter der Festing Ruzafa, liegt auf einer ruhigen Halbinsel der Campingplatz Legjenda mit angeschlossenem tollen Restaurant.",Ruzafa,MWE,MWE
W_344,11,"Nur 2 Kilometer vom Stadtzentrum entfernt, direkt unter der Festing Ruzafa, liegt auf einer ruhigen Halbinsel der Campingplatz Legjenda mit angeschlossenem tollen Restaurant.",liegt,MRW,indirect
W_344,12,"Nur 2 Kilometer vom Stadtzentrum entfernt, direkt unter der Festing Ruzafa, liegt auf einer ruhigen Halbinsel der Campingplatz Legjenda mit angeschlossenem tollen Restaurant.",auf,MRW,indirect
W_344,13,"Nur 2 Kilometer vom Stadtzentrum entfernt, direkt unter der Festing Ruzafa, liegt auf einer ruhigen Halbinsel der Campingplatz Legjenda mit angeschlossenem tollen Restaurant.",einer,Non-MRW,Non-MRW
W_344,14,"Nur 2 Kilometer vom Stadtzentrum entfernt, direkt unter der Festing Ruzafa, liegt auf einer ruhigen Halbinsel der Campingplatz Legjenda mit angeschlossenem tollen Restaurant.",ruhigen,Non-MRW,Non-MRW
W_344,15,"Nur 2 Kilometer vom Stadtzentrum entfernt, direkt unter der Festing Ruzafa, liegt auf einer ruhigen Halbinsel der Campingplatz Legjenda mit angeschlossenem tollen Restaurant.",Halbinsel,Non-MRW,Non-MRW
W_344,16,"Nur 2 Kilometer vom Stadtzentrum entfernt, direkt unter der Festing Ruzafa, liegt auf einer ruhigen Halbinsel der Campingplatz Legjenda mit angeschlossenem tollen Restaurant.",der,Non-MRW,Non-MRW
